pmon_snapshot(pid,sm,mem,enc,dec,command) - sampled every 1s
#Date        Time         gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
#YYYYMMDD    HH:MM:SS     Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
 20260414    10:41:00       1    1119773     C     46     36      -      -      -      -   2124      0    python         
 20260414    10:41:01       0    1119772     C     50     39      -      -      -      -   2124      0    python         
 20260414    10:41:01       1    1119773     C     47     37      -      -      -      -   2124      0    python         
 20260414    10:41:02       0    1119772     C     48     38      -      -      -      -   2124      0    python         
 20260414    10:41:02       1    1119773     C     48     38      -      -      -      -   2124      0    python         
 20260414    10:41:03       0    1119772     C     46     37      -      -      -      -   2124      0    python         
 20260414    10:41:03       1    1119773     C     45     35      -      -      -      -   2124      0    python         
 20260414    10:41:04       0    1119772     C     49     38      -      -      -      -   2124      0    python         
 20260414    10:41:04       1    1119773     C     46     36      -      -      -      -   2124      0    python         
 20260414    10:41:05       0    1119772     C     54     42      -      -      -      -   2124      0    python         
 20260414    10:41:05       1    1119773     C     48     38      -      -      -      -   2124      0    python         
 20260414    10:41:06       0    1119772     C     53     42      -      -      -      -   2124      0    python         
 20260414    10:41:06       1    1119773     C     49     38      -      -      -      -   2124      0    python         
 20260414    10:41:07       0    1119772     C     43     35      -      -      -      -   2124      0    python         
 20260414    10:41:07       1    1119773     C     44     36      -      -      -      -   2124      0    python         
 20260414    10:41:08       0    1119772     C     46     36      -      -      -      -   2124      0    python         
 20260414    10:41:08       1    1119773     C     43     34      -      -      -      -   2124      0    python         
 20260414    10:41:09       0    1119772     C     45     36      -      -      -      -   2124      0    python         
 20260414    10:41:09       1    1119773     C     46     36      -      -      -      -   2124      0    python         
 20260414    10:41:10       0    1119772     C     46     36      -      -      -      -   2124      0    python         
 20260414    10:41:10       1    1119773     C     47     37      -      -      -      -   2124      0    python         
 20260414    10:41:11       0    1119772     C     45     36      -      -      -      -   2124      0    python         
 20260414    10:41:11       1    1119773     C     46     36      -      -      -      -   2124      0    python         
 20260414    10:41:12       0    1119772     C     48     38      -      -      -      -   2124      0    python         
 20260414    10:41:12       1    1119773     C     48     38      -      -      -      -   2124      0    python         
 20260414    10:41:13       0    1119772     C     48     38      -      -      -      -   2124      0    python         
 20260414    10:41:13       1    1119773     C     52     41      -      -      -      -   2124      0    python         
#Date        Time         gpu         pid   type     sm    mem    enc    dec    jpg    ofa     fb   ccpm    command 
#YYYYMMDD    HH:MM:SS     Idx           #    C/G      %      %      %      %      %      %     MB     MB    name 
 20260414    10:41:14       0    1119772     C     46     36      -      -      -      -   2124      0    python         
 20260414    10:41:14       1    1119773     C     41     32      -      -      -      -   2124      0    python         
 20260414    10:41:16       0    1119772     C     45     35      -      -      -      -   2124      0    python         
 20260414    10:41:16       1    1119773     C     44     35      -      -      -      -   2124      0    python         
 20260414    10:41:17       0    1119772     C     44     35      -      -      -      -   2124      0    python         
 20260414    10:41:17       1    1119773     C     45     35      -      -      -      -   2124      0    python         
 20260414    10:41:18       0    1119772     C     43     35      -      -      -      -   2124      0    python         
 20260414    10:41:18       1    1119773     C     46     37      -      -      -      -   2124      0    python         
 20260414    10:41:19       0    1119772     C     47     36      -      -      -      -   2124      0    python         
 20260414    10:41:19       1    1119773     C     43     34      -      -      -      -   2124      0    python         
 20260414    10:41:20       0    1119772     C     47     37      -      -      -      -   2124      0    python         
 20260414    10:41:20       1    1119773     C     47     37      -      -      -      -   2124      0    python         
 20260414    10:41:21       0    1119772     C     46     36      -      -      -      -   2124      0    python         
